Basket Case,punk rock,punk,rock,90s,green day,alternative,alternative rock,pop punk,american,favorites,basket case,1994,favorite songs,Awesome,fun,Pop-punk,classic,Punk-Rock,male vocalists,cool,memories,Energetic,Favorite,Favourites,seen live,upbeat,GREENDAY,emo,best songs ever,pop,indie,pop rock,Love,party,California,punkrock,Love it,hard rock,male vocalist,High School,Favourite Songs,Punk Revival,Dookie,Green Day - Basket Case,indie rock,happy,favourite,soundtrack to my life,metal,good shit,post-grunge,8 of 10 stars,FUCKING AWESOME,90s Rock,legend,punk pop,Grunge,guitar,USA,Alternative  Punk,guitar rock,1990s,Punk-Pop,amayzes loved,Californian Punk,
Boulevard of Broken Dreams,rock,punk rock,green day,punk,alternative,alternative rock,pop punk,Boulevard of Broken Dreams,pop,american,favorites,00s,sad,emo,Awesome,Ballad,favorite songs,GREENDAY,pop rock,melancholic,cool,male vocalists,indie,classic rock,Favourites,Punk-Rock,hard rock,American Idiot,melodic,Green Day - Boulevard of Broken Dreams,indie rock,2004,good,boulevard,seen live,90s,loneliness,rock ballad,beautiful,favourite,Love,acoustic,soft rock,party,great lyrics,green,i walk alone,memories,Alternative  Punk,guitar,Favorite,metal,chillout,alone,emotional,Pop-punk,lonely,punkrock,perfect,punk pop,my life,broken dreams,
Wake Me Up When September Ends,rock,punk rock,green day,alternative,punk,pop punk,sad,alternative rock,00s,american,indie,melancholic,Ballad,pop,favorites,beautiful,favorite songs,Awesome,emo,nostalgia,male vocalists,September,American Idiot,autumn,Love,melancholy,Favorite,indie rock,depressed,emotional,2005,2000s,song that make me cry,Wake me up when september ends,hard rock,epic,rock ballad,hey song i think i love you,pop rock,memories,2004,8 of 10 stars,pretty fucking awesome,USA,Mellow,best song ever,Love it,all the best,GREENDAY,Punk-Rock,Good old times,chillout,chill,slow,acoustic,guitar,Bittersweet,cool,love at first listen,9 of 10 stars,awesomeness,<3,months,black eyed peas,songs that you wanna listen to over and over again,popmusic,all my music,to remember forever,these songs are just amazing,the best music forever,test,classic,singer-songwriter,alternative pop rock,melodic,Driving,Energetic,screamo,amazing,nostalgic,California,I like,dramatic,love songs,guilty pleasure,Pop-punk,war,rock band,i fucking love this song,5 Stars,FUCKING AWESOME,wrif-fm,sing along,powerful,7 of 10 stars,10 of 10 stars,music,wake me up,my music,hit,
American Idiot,punk rock,rock,punk,green day,alternative,pop punk,alternative rock,political,American Idiot,american,00s,favorites,pop,hard rock,GREENDAY,favorite songs,Awesome,Punk-Rock,emo,Anti-Bush,Energetic,great songs,seen live,male vocalists,Grunge,Pop-punk,punkrock,indie,green day - american idiot,2004,party,2000s,cool,Favorite,indie rock,pop rock,Alternative  Punk,California,classic rock,metal,90s,Favourites,america,happy,energy,fun,good,Love it,idiot,Punk-Pop,rock out,fast,power,Love,ska,great,loved,male vocalist,best songs ever,My favourite,Punk Revival,upbeat,favourite,english,male vocals,Protest,concept album,Bay Area,punk pop,Californian Punk,gd,Punk Favorites,post-punk,Driving,modern rock,live,san francisco,Nu Metal,favorite tracks,powerful,Good Stuff,social commentary,songs i can play,not emo,Rock on,Songs I Just Like,trip-hop,chill,catchy,glam rock,guilty pleasure,holiday,Anthemic,metallica,live8,Nirvana,overplayed,top song radio,
Good Riddance (Time of Your Life),rock,acoustic,punk rock,punk,green day,alternative,90s,alternative rock,favorites,Ballad,Mellow,pop punk,favorite songs,american,beautiful,sad,nostalgia,Favourites,pop,emotional,Awesome,guitar,male vocalists,memories,chillout,seen live,Love,melancholy,1997,strings,nostalgic,Pop-punk,All time favourites,soundtrack to my life,seinfeld,melodic,live,graduation,classic rock,classic,emo,pop rock,happy,California,male vocalist,Favourite Songs,better than radiohead,indie,party,favourite,loved,Favorite,relax,alt rock,punkrock,inspiring,gute laune,favorite tracks,sing along,Sentimental,Bay Area,GREENDAY,the best,songs I absolutely love,love stinks,chill,hard rock,soft rock,other,summer,melancholic,Bittersweet,great song,cool,love songs,great lyrics,00s,Pop-Rock,brilliant,5 Stars,goodbye,makes me cry,favorite song,wrif-fm,lullaby,10 of 10 stars,singalong,sad songs,never gets old,best songs ever,grew up on,virgin2005top500,songs i like,over played,gd,VVG,Good Riddance,frequently played,songs by:green day,nimrod,
Holiday,punk rock,rock,punk,green day,alternative,alternative rock,pop punk,holiday,american,pop,00s,political,favorites,GREENDAY,Awesome,favorite songs,Pop-punk,Favorite,emo,seen live,indie,catchy,California,cool,male vocalists,hard rock,dance,great,metal,pop rock,2000s,Punk-Rock,party,Favourites,punkrock,my music,American Idiot,summer,fun,Favorite Bands,energy,90s,upbeat,heard on Pandora,fav,english,2005,wake up,the best,singer-songwriter,USA,melodic,amazing,live,great lyrics,green,rock out,amayzes loved,Green Day - Holiday,
When I Come Around,punk rock,punk,rock,90s,green day,alternative,alternative rock,pop punk,favorites,american,when i come around,favorite songs,Awesome,1994,GREENDAY,pop,favourite,Dookie,Pop-punk,Californian Punk,seen live,indie,nostalgia,hard rock,party,male vocalist,Green Day - When I Come Around,metal,emo,guitar,fun,male vocalists,Grunge,memories,cool,good,classic rock,indie rock,pop rock,happy,Alternative  Punk,ska,loved,Favorite,Love it,1995,classic,Favorite Bands,Energetic,summer,California,alt rock,punkrock,Faves,punk pop,billie joe armstrong,amayzes loved,melodic punk,chill,USA,catchy,nice,english,8 of 10 stars,9 of 10 stars,wrif-fm,10 of 10 stars,6 of 10 stars,a distinctive male lead vocal,90s Rock,Awesome song,Punk-Rock,elementary school,davaho53,heavy electric rhythm guitars,usa rock,greenday when i come around,fucking classic punk rock,
21 Guns,punk rock,rock,alternative rock,green day,punk,alternative,21 guns,american,pop punk,00s,love at first listen,pop,21st century breakdown,beautiful,Power ballad,<3,pop rock,Awesome,2009,sad,amazing,power pop,Ballad,Love,Love it,indie,2000s,The Vampire Diaries,hard rock,male vocalist,fav,GREENDAY,best song by this artist,Soundtrack,favorites,epic,cool,californian punk rock,love at first listening,seen live,must hear,Pop-punk,lyrical,melodic hardcore,punkrock,graduation,Californian,cry,Makes Me Smile,american rock,it does take my breath away,i_like_it,indie rock,90s,great,California,Favorite,rock band,8 of 10 stars,FUCKING AWESOME,guns,Beatlesque,songs I absolutely love,us top 40,alternative punk,one of my absolute tops from this artist,2000s rock,best voice,Fate rarely calls upon us at a moment of our choosing,this used to talk about me,songs I played on Graduation,this has earned the title of favorite song at some point in my life,
Welcome to Paradise,punk rock,punk,rock,green day,alternative,90s,alternative rock,pop punk,american,Pop-punk,favorites,California,GREENDAY,upbeat,cool,pop,Awesome,seen live,favorite songs,Favorite,Favourites,punkrock,indie,1994,Californian Punk,catchy,Alternative  Punk,hard rock,male vocalist,Masterpiece,wrif-fm,4 of 10 stars,Favourite Songs,90s Rock,fave songs,grew up on,songs you must sing along with,songs by:green day,Welcome to Paradise,power pop,USA,pop rock,memories,Love,loud,fun,male vocalists,90's,post-grunge,rock band,alt rock,8 of 10 stars,10 of 10 stars,6 of 10 stars,Bay Area,Punk-Pop,Punk Revival,California Punk,Workout music,Dookie,punknroll,top punk songs,500 essential songs,Old School Green Day,Top Green Day Songs,music choice: classic alternative,indiecent music,soundtrack of my highschool years,punkrocknroll,the scarred,
Jesus of Suburbia,punk rock,rock,punk,green day,alternative,alternative rock,pop punk,epic,american,rock opera,00s,long,Awesome,favorite songs,American Idiot,great lyrics,Progressive rock,GREENDAY,Jesus Of Suburbia,hard rock,favorites,male vocalist,best song ever,Californian Punk,seen live,emo,guitar,Favourite Songs,progressive punk,Punk-Rock,punk rock opera,pop,Pop-punk,Masterpiece,yeaaahhhhh,metal,power,political,life,Love it,punk rock greatest opera ever yeye,indie,indie rock,2004,90s,Driving,male vocalists,live,punkrock,FUCKING AWESOME,2000s,favorite tracks,songs i can play,gd,classic rock,heavy metal,Garage Rock,modern rock,Favorite,Favourites,greys anatomy,want to see live,long song,6 of 10 stars,metallica,concept album,songs of my life,hot guy in the video,songs to hear before you die,linux archlinux,Gren day,Green Day - Jesus of Suburbia,essential green day,
She,punk rock,punk,rock,green day,90s,alternative,alternative rock,pop punk,Awesome,favorite songs,Dookie,indie,american,male vocalists,she,1994,seen live,favorites,GREENDAY,pop,cool,favorite tracks,punk pop,Californian Punk,punkrock,Grunge,Energetic,California,Favorite,Garage Punk,my life story,Favourite Songs,songs that you wanna listen to over and over again,songs you must sing along with,green day favs,classic rock,test,emo,hard rock,USA,pop rock,Love,Alternative  Punk,Pop-punk,best song ever,post-grunge,bouncy,Favourites,melodic hardcore,8 of 10 stars,Masterpiece,wrif-fm,4 of 10 stars,a subtle use of vocal harmony,electric rhythm guitars,major key tonality,a dynamic male vocalist,electric rock instrumentation,90s Rock,Bay Area,Play this loud enough to raise the dead,punk influences,the good,a vocal-centric aesthetic,90s alternative,fucking good songs,cimx-fm,punknroll,Pop-punk-rock,prominent drums,q101chicago,songs by:green day,abolutely obsessed with,favorite gd songs,good green day,old green day,punkrocknroll,the scarred,
Longview,punk rock,punk,rock,green day,90s,alternative,alternative rock,pop punk,masturbation,1994,favorite songs,favorites,american,cool,songs about masturbation,pop,Awesome,Energetic,California,Favorite,Dookie,seen live,Pop-punk,metal,angry punk,emo,hard rock,happy,Love,sex,male vocalist,post-grunge,8 of 10 stars,wrif-fm,10 of 10 stars,story of my life,Californian Punk,classic rock,heavy,catchy,epic,Alternative  Punk,angry,thrash metal,fun,male vocalists,High School,rock band,Favourites,Guilty Pleasures,6 of 10 stars,Favourite Songs,extensive vamping,major key tonality,repetitive melodic phrasing,Pitchfork 500,90s Rock,Bay Area,GREENDAY,psychobaby,hard rock roots,punk influences,90s punk,melodic punk,90s alternative,songs you must sing along with,prominent bass riffs,heavy electric rhythm guitars,Longview,seven deadly sins,self-love,not all about love,favorite gd songs,slgdm,test,chillout,electronica,indie,male,Favorite Bands,Grunge,hardcore,rap,sexy,power pop,memories,easy listening,blues-rock,post-punk,ska,guitar,bass,Driving,upbeat,Reflective,funky,old skool,changed my life,Progressive,ska punk,
